user_uri,track_uri,timestamp,current_time
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:5qZ4c1EBVWpmz1GBaks8Uq,1682078702136,2023-04-21 17:35:32.603936
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:3cubw71a5HiE4YUA8RoKMx,1682078848539,2023-04-21 17:37:37.205189
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:14dJexYlvd3t3XAtD1pYW1,1682078998137,2023-04-21 17:40:12.832682
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:12g9IeQzX7xECLNxz8dpb5,1682079260293,2023-04-21 17:44:21.465830
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:0dYOhXotUJibq5j61vZQVg,1682094424181,2023-04-21 21:59:35.149572
spotify:user:rex1hi2s1ay9q7hf3km0v9qab,spotify:track:6BrMEbPSSj55nQhkgf6DnE,1682105739922,2023-04-22 02:50:31.992036
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:1LzNfuep1bnAUR9skqdHCK,1682108313551,2023-04-22 02:52:36.623987
spotify:user:rex1hi2s1ay9q7hf3km0v9qab,spotify:track:6BrMEbPSSj55nQhkgf6DnE,1682105739922,2023-04-23 03:21:38.542585
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:5dV2mUBoEAQFXhgiptE9pq,1682206434996,2023-04-23 05:04:23.088515
spotify:user:rex1hi2s1ay9q7hf3km0v9qab,spotify:track:6BrMEbPSSj55nQhkgf6DnE,1682105739922,2023-04-23 05:04:54.828173
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:5dV2mUBoEAQFXhgiptE9pq,1682206434996,2023-04-23 05:05:26.520309
spotify:user:rex1hi2s1ay9q7hf3km0v9qab,spotify:track:6BrMEbPSSj55nQhkgf6DnE,1682105739922,2023-04-23 05:05:58.178391
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:5dV2mUBoEAQFXhgiptE9pq,1682206434996,2023-04-23 05:06:29.822504
spotify:user:rex1hi2s1ay9q7hf3km0v9qab,spotify:track:6BrMEbPSSj55nQhkgf6DnE,1682105739922,2023-04-23 05:07:01.508714
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,1682206594949,2023-04-23 05:07:01.508714
spotify:user:rex1hi2s1ay9q7hf3km0v9qab,spotify:track:6BrMEbPSSj55nQhkgf6DnE,1682105739922,2023-04-23 05:07:33.979492
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,1682206594949,2023-04-23 05:07:45.670905
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:4f4q4xqoQEx6E0IyrNLkYS,1682206736831,2023-04-23 05:09:19.658810
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2Mkon0rfeN6GRFWv5Ag1NC,1682206857590,2023-04-23 05:11:24.666628
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2Co0IjcLTSHMtodwD4gzfg,1682206975178,2023-04-23 05:12:58.404851
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2DlHlPMa4M17kufBvI2lEN,1682207073543,2023-04-23 05:14:43.455919
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2dDqsUr11Mv0qhXByNfbJx,1682207459450,2023-04-23 05:21:27.887181
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:4Nwrh5BlZ8I31znYQULS7G,1682207557556,2023-04-23 05:23:01.894695
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2a1iMaoWQ5MnvLFBDv4qkf,1682207632387,2023-04-23 05:24:04.578439
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:4wajJ1o7jWIg62YqpkHC7S,1682207726517,2023-04-23 05:25:33.723070
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:1elQc2QcyuBkI8FUIbNvcy,1682207854343,2023-04-23 05:27:39.501912
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:521OhfIeThXJKiTyz0m883,1682207899949,2023-04-23 05:28:42.212180
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:62SvkbQm1wMS6KZtbtls1V,1682207942655,2023-04-23 05:29:13.878719
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:1Rd5OVjqDAr5xC96MHt448,1682208156334,2023-04-23 05:32:52.398842
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:4T1iiabe7G0UjWQJCY6NE2,1682208192904,2023-04-23 05:33:24.093988
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:781V2Y5LPtcpgONEOadadE,1682208302580,2023-04-23 05:35:29.010663
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2Co0IjcLTSHMtodwD4gzfg,1682208382345,2023-04-23 05:36:31.863118
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK,1682209267129,2023-04-23 05:51:34.705927
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:5nKAlxyjs5kDx3lb981SPE,1682221721983,2023-04-23 13:45:30.335096
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2Rlso2ZNV0PaWwUYeeBYxx,1682345778161,2023-04-24 19:49:02.222419
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:7eaZJ0UDUC7YqcL99mu0sh,1682346129853,2023-04-24 19:52:40.983131
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:6g4RVB6qiuySTw9FCV1HEM,1682346314944,2023-04-24 19:55:16.980142
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:4T1iiabe7G0UjWQJCY6NE2,1682346510874,2023-04-24 19:58:54.927762
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:32b4c1nr1MmuV3zQlUFuj4,1682356053987,2023-04-24 22:39:27.809019
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:0BgmDBe9rn5QmFf5HiQnTe,1682379007821,2023-04-25 13:52:24.992504
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:32b4c1nr1MmuV3zQlUFuj4,1682423641511,2023-04-25 17:25:48.596492
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2Ocbja3GNcxq9Ualmmvfc1,1682423878170,2023-04-25 17:28:25.041221
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:4ltqfN12ohaVZdM6C45gMg,1682447248134,2023-04-25 23:58:18.553021
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:32b4c1nr1MmuV3zQlUFuj4,1682447350597,2023-04-25 23:59:37.583365
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2oxtQ84p1j5GmyzmD50Lq0,1682457916280,2023-04-26 02:55:20.554343
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:3bNv3VuUOKgrf5hu3YcuRo,1682460367371,2023-04-26 04:42:45.458100
